 101  57.0  -77.0 10 RICHMOND GULF QUE.    
10710.0005  300.0000   28.0000    4.2000
 122  70.0  -71.5  6 SAM FORD FIORD BAF.   
 3570.0002  200.0000    7.0000    2.0000
 4760.0002  200.0000   12.0000    2.0000
 5950.0003  200.0000   19.0000    3.0000
 7140.0003  200.0000   28.0000    4.2000
 8330.0004  200.0000   41.0000    6.1000
 9520.0005  300.0000   60.0000    8.9000
 123  71.4  -74.6  3 CAMBRIDGE FIORD BAF.  
 8687.0004  200.0000   21.0000    3.1000
 9282.0004  300.0000   73.0000   10.9000
 9639.0005  300.0000   26.0000    3.9000
 124  72.3  -79.0  7 TAY SOUND BAF.        
 2380.0001  200.0000    3.0000    3.0000
 3570.0002  200.0000    6.0000    4.0000
 4760.0002  200.0000   15.0000    6.0000
 5950.0003  200.0000   30.0000    9.0000
 7140.0003  200.0000   45.0000   12.0000
 8330.0004  200.0000   63.0000   12.0000
 9520.0005  300.0000   87.0000   15.0000
 125  72.0  -80.0  6 MILNE INLET BAF.      
 3570.0002  200.0000   14.0000    5.0000
 4760.0002  200.0000   23.0000    7.0000
 5950.0003  200.0000   36.0000    7.0000
 7140.0003  200.0000   52.0000    7.7000
 8330.0004  200.0000   66.0000    9.8000
 9520.0005  300.0000   83.0000   12.4000
 126  69.0  -74.0  6 BAIRD PEN. BAF.       
 2380.0001  200.0000    8.0000    2.0000
 3570.0002  200.0000   16.0000    2.4000
 4760.0002  200.0000   27.0000    4.0000
 5950.0003  200.0000   44.0000    6.5000
 7140.0003  200.0000   69.0000   10.3000
 8330.0004  200.0000  109.0000   16.3000
 127  69.0  -75.5  6 IPIK BAY BAF.         
 1190.0001  200.0000    3.0000    2.0000
 2380.0001  200.0000    8.0000    2.0000
 3570.0002  200.0000   14.0000    4.0000
 4760.0002  200.0000   23.0000    5.0000
 5950.0003  200.0000   43.0000   10.0000
 7140.0003  200.0000   73.0000   11.0000
 128  70.9  -86.7  3 AGU BAY BAF.          
 8568.0004  200.0000   90.0000   13.4000
 9163.0004  300.0000   98.0000   14.6000
10472.0005  300.0000  121.0000   18.1000
 129  71.0  -85.0  4 BRODEUR PEN. BAF.     
 1071.0001  200.0000    3.0000    1.0000
 8330.0004  200.0000   93.0000   13.9000
 9044.0004  300.0000   90.0000   13.4000
10353.0005  300.0000  122.0000   18.2000
 130  69.5  -82.0  5 N. MELVILLE PEN.      
  714.0000  200.0000    4.0000    1.0000
