 101  57.0  -77.0 10 RICHMOND GULF QUE.    
10150.7392  300.0000   28.0000    4.2000
 122  70.0  -71.5  6 SAM FORD FIORD BAF.   
 3153.6864  200.0000    7.0000    2.0000
 4387.7405  200.0000   12.0000    2.0000
 5721.0440  200.0000   19.0000    3.0000
 6860.0804  200.0000   28.0000    4.2000
 7818.8277  200.0000   41.0000    6.1000
 8857.1391  300.0000   60.0000    8.9000
 123  71.4  -74.6  3 CAMBRIDGE FIORD BAF.  
 8083.4733  200.0000   21.0000    3.1000
 8615.7850  300.0000   73.0000   10.9000
 8969.2126  300.0000   26.0000    3.9000
 124  72.3  -79.0  7 TAY SOUND BAF.        
 2020.9752  200.0000    3.0000    3.0000
 3153.6864  200.0000    6.0000    4.0000
 4387.7405  200.0000   15.0000    6.0000
 5721.0440  200.0000   30.0000    9.0000
 6860.0804  200.0000   45.0000   12.0000
 7818.8277  200.0000   63.0000   12.0000
 8857.1391  300.0000   87.0000   15.0000
 125  72.0  -80.0  6 MILNE INLET BAF.      
 3153.6864  200.0000   14.0000    5.0000
 4387.7405  200.0000   23.0000    7.0000
 5721.0440  200.0000   36.0000    7.0000
 6860.0804  200.0000   52.0000    7.7000
 7818.8277  200.0000   66.0000    9.8000
 8857.1391  300.0000   83.0000   12.4000
 126  69.0  -74.0  6 BAIRD PEN. BAF.       
 2020.9752  200.0000    8.0000    2.0000
 3153.6864  200.0000   16.0000    2.4000
 4387.7405  200.0000   27.0000    4.0000
 5721.0440  200.0000   44.0000    6.5000
 6860.0804  200.0000   69.0000   10.3000
 7818.8277  200.0000  109.0000   16.3000
 127  69.0  -75.5  6 IPIK BAY BAF.         
  969.9618  200.0000    3.0000    2.0000
 2020.9752  200.0000    8.0000    2.0000
 3153.6864  200.0000   14.0000    4.0000
 4387.7405  200.0000   23.0000    5.0000
 5721.0440  200.0000   43.0000   10.0000
 6860.0804  200.0000   73.0000   11.0000
 128  70.9  -86.7  3 AGU BAY BAF.          
 7993.0153  200.0000   90.0000   13.4000
 8493.8224  300.0000   98.0000   14.6000
 9872.9906  300.0000  121.0000   18.1000
 129  71.0  -85.0  4 BRODEUR PEN. BAF.     
  865.6364  200.0000    3.0000    1.0000
 7818.8277  200.0000   93.0000   13.9000
 8371.8598  300.0000   90.0000   13.4000
 9734.1163  300.0000  122.0000   18.2000
 130  69.5  -82.0  5 N. MELVILLE PEN.      
  533.4685  200.0000    4.0000    1.0000
 1051.6061  200.0000    7.0000    1.0000
 3035.7132  200.0000   20.0000    3.0000
 4387.7405  200.0000   24.0000    3.6000
 8857.1391  300.0000  168.0000   25.1000
 131  69.0  -82.0  7 IGLOOLIK IS. NWT.     
  969.9618  200.0000    6.0000    2.0000
 2020.9752  200.0000   14.0000    3.0000
 3153.6864  200.0000   24.0000    5.0000
 4387.7405  200.0000   36.0000    6.0000
 5721.0440  200.0000   53.0000   13.0000
 6860.0804  200.0000   80.0000   20.0000
 7818.8277  200.0000  135.0000   20.2000
 132  69.0  -92.0  5 BOOTHIA PEN. NWT.     
 4387.7405  200.0000   22.0000    3.3000
 5721.0440  200.0000   29.0000    4.3000
 6860.0804  200.0000   40.0000    5.9000
 7818.8277  200.0000   52.0000    8.0000
 8857.1391  300.0000  100.0000   25.0000
 133  67.5 -107.0  8 BATHURST INLET NWT.   
  969.9618  200.0000    1.0000    2.0000
 2020.9752  200.0000    8.0000    5.0000
 3153.6864  200.0000   16.0000    5.0000
 4387.7405  200.0000   27.0000    7.0000
 5721.0440  200.0000   44.0000   11.0000
 6860.0804  200.0000   65.0000   13.0000
 7818.8277  200.0000   95.0000   15.0000
 8857.1391  300.0000  145.0000   25.0000
 134  70.0 -133.0  4 TUKTOYAKTUK PEN. NWT. 
 4034.4962  200.0000  -20.5000    3.0000
 7579.3319  200.0000  -29.6000    4.4000
 8493.8224  300.0000  -41.7000    6.2000
 9872.9906  300.0000  -41.9000    6.2000
 135  72.8  -93.6  6 S. SOMERSET IS.       
 4387.7405  200.0000   18.0000    3.0000
 5721.0440  200.0000   22.0000    5.0000
 6860.0804  200.0000   30.0000    5.0000
 7818.8277  200.0000   36.0000    6.0000
 8857.1391  300.0000   47.0000    7.0000
10150.7392  300.0000   90.0000   23.0000
 136  74.0  -93.7  9 N. SOMERSET IS.       
  969.9618  200.0000    3.0000    2.0000
 2020.9752  200.0000    6.0000    2.0000
 3153.6864  200.0000    9.0000    3.0000
 4387.7405  200.0000   12.0000    4.0000
 5721.0440  200.0000   17.0000    5.0000
 6860.0804  200.0000   22.0000    6.0000
 7818.8277  200.0000   28.0000    7.0000
 8857.1391  300.0000   44.0000    8.0000
10150.7392  300.0000   92.0000   20.0000
 137  73.7  -99.0  4 N. PRINCE OF WALES IS.
10845.1107  300.0000   88.0000   13.1000
11261.7336  300.0000   95.0000   14.2000
12094.9794  400.0000  120.0000   17.9000
12928.2251  400.0000  133.0000   30.0000
 138  73.0 -111.0  3 N. VICTORIA IS.       
11400.6079  300.0000   41.0000    6.1000
13298.7227  400.0000   82.0000   12.2000
13659.4835  400.0000  105.0000   15.7000
 139  75.0 -109.0  6 S. MELVILLE IS.       
  533.4685  200.0000    1.6000    1.0000
 1133.2505  200.0000    1.8000    1.0000
 1636.9475  200.0000    1.8000    1.0000
10845.1107  300.0000   38.0000    5.6000
